customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,customer_status
CUST00017,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,6048.94,411327.92,Active
CUST00018,Female,No,Yes,No,72,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,4856.57,349673.04,Active
CUST00019,Male,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3189.92,35089.12,Churned
CUST00020,Male,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),6063.78,163722.06,Active
CUST00021,Female,No,No,Yes,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),4963.67,178692.12,Active
CUST00022,Male,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,6548.06,39288.36,Churned
CUST00023,Male,No,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,4366.45,152825.75,Active
CUST00024,Male,Yes,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),5595.18,27975.9,Active
CUST00025,Male,No,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),7127.19,57017.52,Active
CUST00026,Female,Yes,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,5413.68,5413.68,Active
CUST00027,Male,No,Yes,No,10,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4513.64,45136.4,Active
CUST00028,Female,No,No,No,31,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),4629.26,143507.06,Active
CUST00029,Female,No,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,2935.33,44029.95,Active
CUST00030,Male,No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,6120.93,410102.31,Active
CUST00031,Female,Yes,Yes,Yes,34,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),4402.2,149674.8,Active
CUST00032,Male,No,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5139.09,56529.99,Churned
CUST00033,Male,No,No,Yes,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,6312.24,397671.12,Active
CUST00034,Female,No,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,5999.23,341956.11,Active
CUST00035,Female,No,No,Yes,28,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),4735.63,132597.64,Active
CUST00036,Female,No,Yes,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,3591.05,7182.1,Churned
CUST00037,Male,No,No,No,19,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,4003.78,76071.82,Active
CUST00038,Male,No,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,5089.56,117059.88,Churned
CUST00039,Female,No,No,Yes,1,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,4719.01,4719.01,Active
CUST00040,Male,No,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),3129.49,62589.8,Churned
CUST00041,Male,No,No,No,5,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,5802.45,29012.25,Active
CUST00042,Male,No,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,5164.74,227248.56,Active
CUST00043,Male,Yes,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),2721.13,10884.52,Active
CUST00044,Female,No,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),3127.56,109464.6,Churned
CUST00045,Male,No,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,6139.43,61394.3,Churned
CUST00046,Female,No,Yes,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),5458.55,349347.2,Churned
CUST00047,Male,Yes,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),3224.95,64499.0,Active
CUST00048,Female,Yes,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),5344.39,187053.65,Active
CUST00049,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),2389.11,7167.33,Churned
CUST00050,Male,No,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),6107.8,24431.2,Churned
CUST00051,Female,Yes,Yes,No,56,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,5819.07,325867.92,Active
CUST00052,Female,No,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),4068.4,44752.4,Churned
CUST00053,Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),2974.98,23799.84,Churned
CUST00054,Female,No,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,2017.25,84724.5,Active
CUST00055,Female,Yes,Yes,Yes,11,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),5607.58,61683.38,Churned
CUST00056,Female,No,No,No,24,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,5285.48,126851.52,Active
CUST00057,Male,No,No,Yes,12,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),5157.12,61885.44,Active
CUST00058,Male,Yes,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,2600.91,13004.55,Churned
CUST00059,Male,No,No,Yes,64,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),5592.17,357898.88,Active
CUST00060,Male,No,No,No,8,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,4604.3,36834.4,Churned
CUST00061,Male,No,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),2659.2,7977.6,Churned
CUST00062,Male,No,Yes,No,7,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,5297.24,37080.68,Churned
CUST00063,Female,Yes,Yes,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,4044.46,145600.56,Churned
CUST00064,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),7112.69,7112.69,Active
CUST00065,Male,No,No,No,19,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,5241.23,99583.37,Active
CUST00066,Female,No,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,6656.74,259612.86,Active
CUST00067,Male,No,Yes,Yes,34,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,5131.65,174476.1,Churned
CUST00068,Female,No,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,3769.88,37698.8,Active
CUST00069,Male,No,No,No,30,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),4726.92,141807.6,Active
CUST00070,Female,No,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,6520.15,293406.75,Active
CUST00071,Female,No,No,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),6653.7,106459.2,Active
CUST00072,Male,No,No,Yes,38,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6351.47,241355.86,Active
CUST00073,Male,No,No,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),4000.17,76003.23,Churned
CUST00074,Female,No,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,2356.53,2356.53,Active
CUST00075,Female,Yes,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),4593.82,303192.12,Active
CUST00076,Female,No,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,6505.89,39035.34,Active
CUST00077,Female,No,No,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4859.42,43734.78,Active
CUST00078,Male,No,Yes,No,19,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5245.89,99671.91,Active
CUST00079,Male,Yes,No,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),5373.56,128965.44,Active
CUST00080,Male,No,Yes,Yes,15,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,4300.38,64505.7,Churned
CUST00081,Female,No,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,4580.92,36647.36,Churned
CUST00082,Female,No,No,No,62,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),4178.34,259057.08,Active
CUST00083,Male,No,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,2125.09,14875.63,Active
CUST00084,Male,Yes,Yes,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),5061.5,263198.0,Active
CUST00085,Male,No,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),2819.5,19736.5,Active
CUST00086,Male,No,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,6256.61,93849.15,Churned
CUST00087,Female,No,No,Yes,12,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,5501.76,66021.12,Active
CUST00088,Female,No,No,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),5752.58,143814.5,Active
CUST00089,Female,No,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),7181.98,93365.74,Churned
CUST00090,Male,No,No,No,27,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,5878.3,158714.1,Active
CUST00091,Male,No,Yes,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,4062.25,211237.0,Active
CUST00092,Female,No,No,No,29,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,5363.92,155553.68,Active
CUST00093,Female,No,Yes,No,10,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),4607.03,46070.3,Churned
CUST00094,Female,No,Yes,No,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4278.98,59905.72,Active
CUST00095,Female,No,Yes,No,33,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),4813.47,158844.51,Active
CUST00096,Male,No,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,2797.92,195854.4,Churned
CUST00097,Female,Yes,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5736.24,413009.28,Active
CUST00098,Male,No,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5715.34,125737.48,Active
CUST00099,Male,Yes,No,Yes,68,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,4577.09,311242.12,Active
CUST00100,Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),4982.08,134516.16,Active
CUST00101,Male,No,Yes,No,59,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,4281.5,252608.5,Active
CUST00102,Female,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,3668.33,7336.66,Churned
CUST00103,Male,No,Yes,Yes,11,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),4017.37,44191.07,Active
CUST00104,Female,No,No,No,7,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,5053.48,35374.36,Active
CUST00105,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,6365.39,38192.34,Active
CUST00106,Male,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,2359.59,7078.77,Churned
CUST00107,Male,No,No,Yes,15,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,4930.72,73960.8,Active
CUST00108,Female,No,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),5270.64,100142.16,Active
CUST00109,Male,Yes,Yes,Yes,40,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),4411.45,176458.0,Active
CUST00110,Male,No,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,5053.42,333525.72,Active
CUST00111,Male,No,Yes,No,65,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),5169.78,336035.7,Active
CUST00112,Male,No,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,3731.24,205218.2,Active
CUST00113,Female,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,5982.95,11965.9,Active
CUST00114,Female,No,No,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2731.97,21855.76,Churned
CUST00115,Female,No,Yes,No,57,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),4509.17,257022.69,Churned
CUST00116,Female,No,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),4707.94,56495.28,Active
CUST00117,Female,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,3039.24,30392.4,Active
CUST00118,Male,No,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,5581.35,22325.4,Active
CUST00119,Female,No,No,Yes,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1922.08,69194.88,Churned
CUST00120,Female,No,No,Yes,6,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,4200.53,25203.18,Active
CUST00121,Female,No,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),4815.63,14446.89,Churned
CUST00122,Female,No,No,No,41,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),4234.19,173601.79,Active
CUST00123,Male,Yes,No,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,2547.7,135028.1,Active
CUST00124,Male,No,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2716.73,54334.6,Active
CUST00125,Male,No,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),2913.54,23308.32,Churned
CUST00126,Male,No,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,5802.27,272706.69,Active
CUST00127,Female,No,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),4453.27,17813.08,Active
CUST00128,Female,No,No,No,63,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,4491.05,282936.15,Active
CUST00129,Male,No,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5495.51,38468.57,Active
CUST00130,Female,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),6027.88,307421.88,Active
CUST00131,Male,No,Yes,No,61,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),4796.84,292607.24,Active
CUST00132,Male,Yes,Yes,Yes,43,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,4828.75,207636.25,Active
CUST00133,Male,No,Yes,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4287.04,171481.6,Active
CUST00134,Male,No,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2305.02,27660.24,Active
CUST00135,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),2265.68,4531.36,Active
CUST00136,Male,No,No,No,29,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),4864.61,141073.69,Active
CUST00137,Female,No,Yes,No,32,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,4411.75,141176.0,Active
CUST00138,Female,No,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5839.78,81756.92,Active
CUST00139,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,5986.52,5986.52,Churned
CUST00140,Female,No,No,No,56,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),4796.21,268587.76,Active
CUST00141,Female,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),6788.96,61100.64,Active
CUST00142,Male,No,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),2895.6,31851.6,Churned
CUST00143,Male,No,Yes,Yes,61,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6263.58,382078.38,Active
CUST00144,Male,No,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),5414.77,184102.18,Active
CUST00145,Male,No,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),5607.19,16821.57,Churned
CUST00146,Male,No,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3524.08,63433.44,Active
CUST00147,Female,No,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,5364.74,69741.62,Active
CUST00148,Male,No,No,No,59,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,6381.09,376484.31,Active
CUST00149,Male,No,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),5070.08,202803.2,Active
CUST00150,Male,No,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,5670.7,22682.8,Active
CUST00151,Female,No,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,6303.42,18910.26,Churned
CUST00152,Male,No,Yes,Yes,12,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),3900.92,46811.04,Churned
CUST00153,Male,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,5150.83,10301.66,Churned
CUST00154,Male,Yes,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),2411.46,147099.06,Active
CUST00155,Female,No,No,No,71,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),3446.05,244669.55,Active
CUST00156,Male,No,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,2253.37,74361.21,Churned
CUST00157,Female,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),3104.77,55885.86,Churned
CUST00158,Female,No,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,4786.62,105305.64,Churned
CUST00159,Male,Yes,No,No,33,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),4491.31,148213.23,Churned
CUST00160,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2658.57,122294.22,Active
CUST00161,Male,Yes,Yes,Yes,41,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5941.16,243587.56,Active
CUST00162,Female,No,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),5094.2,61130.4,Active
CUST00163,Female,No,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),2974.0,2974.0,Churned
CUST00164,Female,No,No,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,5417.02,102923.38,Active
CUST00165,Male,No,Yes,Yes,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),3701.15,14804.6,Churned
CUST00166,Female,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),2936.68,11746.72,Churned
CUST00167,Male,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2558.86,48618.34,Churned
CUST00168,Male,No,No,No,65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),6044.15,392869.75,Active
CUST00169,Male,No,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,3045.44,191862.72,Active
CUST00170,Female,No,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,5764.92,98003.64,Churned
CUST00171,Female,No,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),5505.18,38536.26,Active
CUST00172,Male,Yes,No,No,46,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),4209.31,193628.26,Active
